Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Conilurus penicillatus,Cat,VU,1,"Woinarski, J.C.Z., Ward, S., Mahney, T., Bradley, J., Brennan, K., Ziembicki, M. and Fisher, A., 2011. The mammal fauna of the Sir Edward Pellew island group, Northern Territory, Australia: refuge and death-trap. Wildlife Research, 38(4), pp.307-322.",Woinarski et al 2011 Wildlife Research,High/Very High,,High/Very High,-15.6988,136.9999,Population,Spatial,1,yes,yes,yes,yes,yes,10,no
Dasycercus cristicauda,Cat,VU,1,"Mahon, P.S., 1999. Predation by feral cats and red foxes and the dynamics of small mammal populations in arid Australia. PhD thesis, University of Sydney, Sydney, Australia.",Mahon 1999 Thesis University of Sydney,High,,High,-23.46,138.28,Predation,Diet,1,no,no,,,,,
Dasycercus cristicauda,Cat,VU,1,"Paltridge, R., 2002. The diets of cats, foxes and dingoes in relation to prey availability in the Tanami Desert, Northern Territory. Wildlife Research, 29(4), pp.389-403.",Paltridge 2002 Wildlife Research,High,,High,-20,130,Predation,Diet,1,no,no,,,,,
Dasycercus cristicauda,Cat,VU,1,"Vernes, K., Jackson, S.M., Elliott, T.F., Tischler, M. and Harper, A., 2021. Diets of mammalian carnivores in the deserts of north-eastern South Australia. Journal of Arid Environments, 188, p.104377.",Vernes et al 2021 Journal of Arid Environments,High,,High,-25.934,138.676,Predation,Diet,1,no,no,,,,,
Dasycercus cristicauda,Cat,VU,1,"Pedler, R.D., Brandle, R., Read, J.L., Southgate, R., Bird, P. and Moseby, K.E., 2016. Rabbit biocontrol and landscape‐scale recovery of threatened desert mammals. Conservation Biology, 30(4), pp.774-782.",Pedler et al 2016 Conservation Biology,High,,High,-30.564,136.9004,Population,Spatial,1,yes,yes,yes,yes,yes,,no
Dasycercus cristicauda,Cat,VU,1,"Dickman, C.R., Haythornthwaite, A.S., McNaught, G.H., Mahon, P.S., Tamayo, B. and Letnic, M., 2001. Population dynamics of three species of dasyurid marsupials in arid central Australia: a 10-year study. Wildlife Research, 28(5), pp.493-506.",Dickman et al 2001 Wildlife Research,High,,High,-23.8367,138.2561,Population,Temporal,0,yes,yes,,yes,no,,no
Dasycercus cristicauda,Cat,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,High,,High,-19.2,132.6666667,Predation,Hunted,1,no,no,,,,,
Dasycercus cristicauda,Fox,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,High,,High,-19.2,132.6666667,Predation,Hunted,1,no,no,,,,,
Dasycercus cristicauda,Fox,VU,1,"Mahon, P.S., 1999. Predation by feral cats and red foxes and the dynamics of small mammal populations in arid Australia. PhD thesis, University of Sydney, Sydney, Australia.",Mahon 1999 Thesis University of Sydney,High,,High,-23.46,138.28,Predation,Diet,1,no,no,,,,,
Dasycercus cristicauda,Fox,VU,1,"Paltridge, R., 2002. The diets of cats, foxes and dingoes in relation to prey availability in the Tanami Desert, Northern Territory. Wildlife Research, 29(4), pp.389-403.",Paltridge 2002 Wildlife Research,High,,High,-20,130,Predation,Diet,1,no,no,,,,,
Dasycercus cristicauda,Fox,VU,1,"Pedler, R.D., Brandle, R., Read, J.L., Southgate, R., Bird, P. and Moseby, K.E., 2016. Rabbit biocontrol and landscape‐scale recovery of threatened desert mammals. Conservation Biology, 30(4), pp.774-782.",Pedler et al 2016 Conservation Biology,High,,High,-30.564,136.9004,Population,Spatial,1,yes,yes,yes,yes,yes,,no
Dasycercus cristicauda,Fox,VU,1,"Dickman, C.R., Haythornthwaite, A.S., McNaught, G.H., Mahon, P.S., Tamayo, B. and Letnic, M., 2001. Population dynamics of three species of dasyurid marsupials in arid central Australia: a 10-year study. Wildlife Research, 28(5), pp.493-506.",Dickman et al 2001 Wildlife Research,High,,High,-23.8367,138.2561,Population,Temporal,0,yes,yes,no,yes,no,,no
Dasyuroides byrnei,Fox,VU,0,,,,,High,,,,,,,,,,,,
Dasyurus geoffroii,Cat,NT,1,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Moseby et al 2021 Austral Ecology,Moderate,,Moderate,-31.37,138.59,Predation,Hunted_reintroduced,1,no,no,,,,,
Dasyurus geoffroii,Cat,NT,1,"Moseby, K.E., Hodgens, P., Peacock, D., Mooney, P., Brandle, R., Lynch, C., West, R., Young, C.M., Bannister, H., Copley, P. and Jensen, M.A., 2021. Intensive monitoring, the key to identifying cat predation as a major threat to native carnivore (Dasyurus geoffroii) reintroduction. Biodiversity and Conservation, 30, pp.1547-1571.",Moseby et al 2021 Biodiversity and Conservation,Moderate,,Moderate,-31.37,138.59,Predation,Hunted_reintroduced,1,no,no,,,,,
Dasyurus geoffroii,Cat,NT,1,"Moseby, K.E., Peacock, D.E. and Read, J.L., 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation, 191, pp.331-340.",Moseby et al 2015 Biological Conservation,Moderate,,Moderate,-31.37,138.59,Predation,Hunted_reintroduced,1,no,no,,,,,
Dasyurus geoffroii,Cat,NT,1,"Glen, A.S., Berry, O., Sutherland, D.R., Garretson, S., Robinson, T. and De Tores, P.J., 2010. Forensic DNA confirms intraguild killing of a chuditch (Dasyurus geoffroii) by a feral cat (Felis catus). Conservation Genetics, 11, pp.1099-1101.",Glen et al 2010 Conservation Genetics,Moderate,,Moderate,,,Predation,Hunted,1,no,no,,,,,
Dasyurus geoffroii,Cat,NT,1,"Comer, S., Clausen, L., Cowen, S., Pinder, J., Thomas, A., Burbidge, A.H., Tiller, C., Algar, D. and Speldewinde, P., 2020. Integrating feral cat (Felis catus) control into landscape-scale introduced predator management to improve conservation prospects for threatened fauna: a case study from the south coast of Western Australia. Wildlife Research, 47(8), pp.762-778.",Comer et al 2020 Wildlife Research,Moderate,,Moderate,-33.8,119.88,Population,Temporal,0,yes,yes,no,no,no,,no
Dasyurus geoffroii,Cat,NT,1,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Moseby et al 2021 Austral Ecology,Moderate,,Moderate,-31.37,138.59,Baiting,Baiting_temporal,0,no,yes,,,,,
Dasyurus geoffroii,Cat,NT,1,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Moseby et al 2021 Austral Ecology,Moderate,,Moderate,-31.37,138.59,Population,Temporal,0,yes,yes,no,no,no,,no
Dasyurus geoffroii,Cat,NT,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,Moderate,,Moderate,-34.37,116.28,Population,Temporal,1,yes,yes,no,no,no,,no
Dasyurus geoffroii,Fox,NT,1,"Moseby, K., Hodgens, P., Bannister, H., Mooney, P., Brandle, R., Lynch, C., Young, C., Jansen, J. and Jensen, M., 2021. The ecological costs and benefits of a feral cat poison‐baiting programme for protection of reintroduced populations of the western quoll and brushtail possum. Austral Ecology, 46(8), pp.1366-1382.",Moseby et al 2021 Austral Ecology,Very high,,Very high,-31.37,138.59,Predation,Hunted_reintroduced,0,no,no,,,,,
Dasyurus geoffroii,Fox,NT,1,"Moseby, K.E., Hodgens, P., Peacock, D., Mooney, P., Brandle, R., Lynch, C., West, R., Young, C.M., Bannister, H., Copley, P. and Jensen, M.A., 2021. Intensive monitoring, the key to identifying cat predation as a major threat to native carnivore (Dasyurus geoffroii) reintroduction. Biodiversity and Conservation, 30, pp.1547-1571.",Moseby et al 2021 Biodiversity and Conservation,Very high,,Very high,-31.37,138.59,Predation,Hunted_reintroduced,0,no,no,,,,,
Dasyurus geoffroii,Fox,NT,1,"Moseby, K.E., Peacock, D.E. and Read, J.L., 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation, 191, pp.331-340.",Moseby et al 2015 Biological Conservation,Very high,,Very high,-31.37,138.59,Predation,Hunted_reintroduced,0,no,no,,,,,
Dasyurus geoffroii,Fox,NT,1,"Comer, S., Clausen, L., Cowen, S., Pinder, J., Thomas, A., Burbidge, A.H., Tiller, C., Algar, D. and Speldewinde, P., 2020. Integrating feral cat (Felis catus) control into landscape-scale introduced predator management to improve conservation prospects for threatened fauna: a case study from the south coast of Western Australia. Wildlife Research, 47(8), pp.762-778.",Comer et al 2020 Wildlife Research,Very high,,Very high,-33.8,119.88,Population,Temporal,1,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Department of Environment and Conservation, 2012. Chuditch (Dasyurus geoffroii) Recovery Plan. Wildlife Management Program No. 54. Department of Environment and Conservation, Perth, Western Australia.",Department of Environment and Conservation 2012,Very high,,Very high,-32.77,116.97,Baiting,Baiting_temporal,0,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Morris, K., Johnson, B., Orell, P., Gaikhorst, G., Wayne, A. and Moro, D., 2003. Recovery of the threatened chuditch (Dasyurus geoffroii): a case study. Predators With Pouches: The Biology of Carnivorous Marsupials, pp.435-451.",Morris et al 2003 Predators with Pouches: The Biology of Carnivorous Marsupials,Very high,,Very high,-33.32,116.4948,Baiting,Baiting_temporal,1,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Orell, P., 2004. Fauna monitoring and staff training: Western Shield review – February 2003. Conservation Science Western Australia 5(2), 51-95.",Orell 2004 Conservation Science Western Australia,Very high,,Very high,-32.77,116.97,Baiting,Baiting_temporal,0,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Orell, P., 2004. Fauna monitoring and staff training: Western Shield review – February 2003. Conservation Science Western Australia 5(2), 51-95.",Orell 2004 Conservation Science Western Australia,Very high,,Very high,-32.77,116.97,Baiting,Baiting_temporal,1,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Geary, W.L., Tulloch, A.I., Ritchie, E.G., Doherty, T.S., Nimmo, D.G., Maxwell, M.A. and Wayne, A.F., 2023. Identifying historical and future global change drivers that place species recovery at risk. Global Change Biology, 29(11), pp.2953-2967.",Geary et al 2023 Global Change Biology,Very high,,Very high,-34.37,116.28,Baiting,Baiting_spatial,0,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Kinnear, J.E., Sumner, N.R. and Onus, M.L., 2002. The red fox in Australia—an exotic predator turned biocontrol agent. Biological Conservation, 108(3), pp.335-359.",Kinnear et al 2002 Biological Conservation,Very high,,Very high,-32.55,117.33,Baiting,Baiting_spatial,1,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Wayne, A.F., Liddelow, G.L. and Williams, M.R., 2011. FORESTCHECK: terrestrial vertebrate associations with fox control and silviculture in jarrah (Eucalyptus marginata) forest. Australian Forestry, 74(4), pp.336-349.",Wayne et al 2011 Australian Forestry,Very high,,Very high,-34.37,116.28,Baiting,Baiting_spatial,1,no,yes,,,,,
Dasyurus geoffroii,Fox,NT,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,Very high,,Very high,-34.37,116.28,Population,Temporal,0,yes,yes,no,no,no,,no
Dasyurus hallucatus,Cat,EN,1,"Stokeld D, Fisher A, Gentles T, Hill B, Triggs B, Woinarski JCZ, Gillespie GR. 2018. What do predator diets tell us about mammal declines in Kakadu National Park? Wildlife Research 45:92-101.",Stokeld et al 2018 Wildlife Research,High,,High,-13.09,132.39,Predation,Diet,1,no,no,,,,,
Dasyurus hallucatus,Cat,EN,1,"Cowan, M., Moro, D., Anderson, H., Angus, J., Garretson, S. and Morris, K., 2020. Aerial baiting for feral cats is unlikely to affect survivorship of northern quolls in the Pilbara region of Western Australia. Wildlife Research, 47(8), pp.589-598.",Cowan et al 2020 Wildlife Research,High,,High,-22.49,118.4,Predation,Hunted,1,no,no,,,,,
Dasyurus hallucatus,Cat,EN,1,"Cowan, M., Moro, D., Anderson, H., Angus, J., Garretson, S. and Morris, K., 2020. Aerial baiting for feral cats is unlikely to affect survivorship of northern quolls in the Pilbara region of Western Australia. Wildlife Research, 47(8), pp.589-598.",Cowan et al 2020 Wildlife Research,High,,High,-22.5,118.4,Predation,Hunted,1,no,no,,,,,
Dasyurus hallucatus,Cat,EN,1,"Oakwood, M., 2000. Reproduction and demography of the northern quoll, Dasyurus hallucatus, in the lowland savanna of northern Australia. Australian Journal of Zoology, 48(5), pp.519-539.",Oakwood 2000 Australian Journal of Zoology,High,,High,-13.09,132.39,Predation,Hunted,1,no,no,,,,,
Dasyurus hallucatus,Cat,EN,1,"Peacock D, Abbott I. 2014. When the ‘native cat’would ‘plague’: historical hyperabundance in the quoll (Marsupialia: Dasyuridae) and an assessment of the role of disease, cats and foxes in its curtailment. Australian Journal of Zoology 62:294-344.",Peacock and Abbott 2014 Australian Journal of Zoology,High,,High,-18.0903,145.3143,Predation,Hunted,1,no,no,,,,,
Dasyurus hallucatus,Cat,EN,1,"Pollock, A.B., 1999. Notes on status, distribution and diet of northern quoll Dasyurus hallucatus in the Mackay-Bowen area, mideastern Queensland. Australian Zoologist, 31(2), pp.388-395.",Pollock 1999 Australian Zoologist,High,,High,-21.13,149.18,Predation,Hunted,1,no,no,,,,,
Dasyurus hallucatus,Cat,EN,1,"Palmer, R., Anderson, H., Richards, B., Craig, M.D. and Gibson, L., 2021. Does aerial baiting for controlling feral cats in a heterogeneous landscape confer benefits to a threatened native meso-predator?. PLoS One, 16(5), p.e0251304.",Palmer et al 2021 PloS One,High,,High,-22.49,118.4,Baiting,Baiting_spatial,1,no,yes,,,,,
Dasyurus hallucatus,Cat,EN,1,"Palmer, R., Anderson, H., Richards, B., Craig, M.D. and Gibson, L., 2021. Does aerial baiting for controlling feral cats in a heterogeneous landscape confer benefits to a threatened native meso-predator?. PLoS One, 16(5), p.e0251304.",Palmer et al 2021 PloS One,High,,High,-22.5,118.4,Baiting,Baiting_spatial,1,no,yes,,,,,
Dasyurus hallucatus,Cat,EN,1,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",Stobo-Wilson et al 2020 Biological Conservation,High,,High,-13.09,132.39,Population,Spatial,1,yes,yes,yes,yes,yes,312,no
Dasyurus hallucatus,Cat,EN,1,"Palmer, R., Anderson, H., Richards, B., Craig, M.D. and Gibson, L., 2021. Does aerial baiting for controlling feral cats in a heterogeneous landscape confer benefits to a threatened native meso-predator?. PLoS One, 16(5), p.e0251304.",Palmer et al 2021 PLoS One,High,,High,-22.49,118.4,Population,Temporal,0,yes,yes,yes,no,no,2,no
Dasyurus hallucatus,Cat,EN,1,"Trewella, G.J., Cremona, T., Nevard, H. and Murphy, B.P., 2023. Habitat structure facilitates coexistence of native and invasive mesopredators in an Australian tropical savanna. Wildlife Research, 50(12), pp.1058-1070.",Trewella et al 2023 Wildlife Research,High,,High,-12.6493,141.847,Population,Spatial,0,yes,yes,yes,yes,yes,,no
Dasyurus hallucatus,Cat,EN,1,"Woinarski, J.C.Z., Ward, S., Mahney, T., Bradley, J., Brennan, K., Ziembicki, M. and Fisher, A., 2011. The mammal fauna of the Sir Edward Pellew island group, Northern Territory, Australia: refuge and death-trap. Wildlife Research, 38(4), pp.307-322.",Woinarski et al 2011 Wildlife Research,High,,High,-15.6988,136.9999,Population,Spatial,0,yes,yes,yes,yes,yes,10,no
Dasyurus hallucatus,Fox,EN,0,,,,,Moderate,,,,,,,,,,,,
Dasyurus maculatus,Cat,NT,1,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Kortner et al 2003 Wildlife Research,Very high,,Very high,-31.12,152.1,Predation,Hunted,0,no,no,,,,,
Dasyurus maculatus,Cat,NT,1,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Kortner et al 2003 Wildlife Research,Very high,,Very high,-31.12,152.1,Population,Temporal,0,yes,yes,yes,no,yes,2,no
Dasyurus maculatus,Cat,NT,1,"Catling, P.C. and Burt, R.J., 1997. Studies of the ground-dwelling mammals of eucalypt forests in north-eastern New South Wales: the species, their abundance and distribution. Wildlife Research, 24(1), pp.1-19.",Catling and Burt 1997 Wildlife Research,Very high,,Very high,-29.6815,152.9381,Population,Spatial,0,yes,yes,yes,yes,yes,13,no
Dasyurus maculatus,Fox,NT,1,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Kortner et al 2003 Wildlife Research,Very high,,Very high,-31.12,152.1,Predation,Hunted,1,no,no,,,,,
Dasyurus maculatus,Fox,NT,1,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Kortner et al 2003 Wildlife Research,Very high,,Very high,-31.12,152.1,Baiting,Baiting_temporal,0,no,yes,,,,,
Dasyurus maculatus,Fox,NT,1,"Körtner, G., Gresser, S. and Harden, B., 2003. Does fox baiting threaten the spotted-tailed quoll, Dasyurus maculatus?. Wildlife Research, 30(2), pp.111-118.",Kortner et al 2003 Wildlife Research,Very high,,Very high,-31.12,152.1,Population,Temporal,0,yes,yes,yes,no,yes,2,no
Dasyurus maculatus,Fox,NT,1,"Catling, P.C. and Burt, R.J., 1997. Studies of the ground-dwelling mammals of eucalypt forests in north-eastern New South Wales: the species, their abundance and distribution. Wildlife Research, 24(1), pp.1-19.",Catling and Burt 1997 Wildlife Research,Very high,,Very high,-29.6815,152.9381,Population,Spatial,0,yes,yes,yes,yes,yes,8,no
Dasyurus viverrinus,Cat,EN,1,"Peacock D, Abbott I. 2014. When the ‘native cat’would ‘plague’: historical hyperabundance in the quoll (Marsupialia: Dasyuridae) and an assessment of the role of disease, cats and foxes in its curtailment. Australian Journal of Zoology 62:294-344.",Peacock and Abbott 2014 Australian Journal of Zoology,High,,High,-38.0627,143.752,Predation,Hunted_reintroduced,0,no,no,,,,,
Dasyurus viverrinus,Cat,EN,1,"Robinson NM, Blanchard W, MacGregor C, Brewster R, Dexter N, Lindenmayer DB. 2021. Can evolutionary theories of dispersal and senescence predict postrelease survival, dispersal, and body condition of a reintroduced threatened mammal? Ecol Evol;11:1002– 1012",Robinson et al 2021 Ecology and Evolution,High,,High,-35.1,150.4,Predation,Hunted_reintroduced,0,no,no,,,,,
Dasyurus viverrinus,Cat,EN,1,"Robinson, N.M., Dexter, N., Brewster, R., Maple, D., MacGregor, C., Rose, K., Hall, J. and Lindenmayer, D.B., 2020. Be nimble with threat mitigation: lessons learned from the reintroduction of an endangered species. Restoration Ecology, 28(1), pp.29-38.",Robinson et al 2020 Restoration Ecology,High,,High,-35.1,150.4,Predation,Hunted_reintroduced,0,no,no,,,,,
Dasyurus viverrinus,Cat,EN,1,"Peacock D, Abbott I. 2014. When the ‘native cat’would ‘plague’: historical hyperabundance in the quoll (Marsupialia: Dasyuridae) and an assessment of the role of disease, cats and foxes in its curtailment. Australian Journal of Zoology 62:294-344.",Peacock and Abbott 2014 Australian Journal of Zoology,High,,High,-38.0627,143.752,Predation,Hunted,1,no,no,,,,,
Dasyurus viverrinus,Cat,EN,1,"Fancourt, B.A., Hawkins, C.E., Cameron, E.Z., Jones, M.E. and Nicol, S.C., 2015. Devil declines and catastrophic cascades: is mesopredator release of feral cats inhibiting recovery of the eastern quoll?. PLoS One, 10(3), p.e0119303.",Fancourt 2015 PloS One,High,,High,-42.08,146.81,Population,Spatial,0,yes,yes,yes,yes,yes,16,no
Dasyurus viverrinus,Cat,EN,1,"Hollings, T., Jones, M., Mooney, N. and Mccallum, H., 2014. Trophic cascades following the disease‐induced decline of an apex predator, the Tasmanian devil. Conservation Biology, 28(1), pp.63-75.",Hollings 2014 Conservation Biology,High,,High,-42.08,146.81,Population,Temporal,1,yes,yes,yes,yes,yes,3,no
Dasyurus viverrinus,Fox,EN,1,"Peacock D, Abbott I. 2014. When the ‘native cat’would ‘plague’: historical hyperabundance in the quoll (Marsupialia: Dasyuridae) and an assessment of the role of disease, cats and foxes in its curtailment. Australian Journal of Zoology 62:294-344.",Peacock and Abbott 2014 Australian Journal of Zoology,Very high,,Very high,-38.0627,143.752,Predation,Hunted_reintroduced,1,no,no,,,,,
Dasyurus viverrinus,Fox,EN,1,"Robinson NM, Blanchard W, MacGregor C, Brewster R, Dexter N, Lindenmayer DB. 2021. Can evolutionary theories of dispersal and senescence predict postrelease survival, dispersal, and body condition of a reintroduced threatened mammal? Ecol Evol;11:1002– 1012",Robinson et al 2021 Ecology and Evolution,Very high,,Very high,-35.1,150.4,Predation,Hunted_reintroduced,1,no,no,,,,,
Dasyurus viverrinus,Fox,EN,1,"Robinson, N.M., Dexter, N., Brewster, R., Maple, D., MacGregor, C., Rose, K., Hall, J. and Lindenmayer, D.B., 2020. Be nimble with threat mitigation: lessons learned from the reintroduction of an endangered species. Restoration Ecology, 28(1), pp.29-38.",Robinson et al 2020 Restoration Ecology,Very high,,Very high,-35.1,150.4,Predation,Hunted_reintroduced,1,no,no,,,,,
Dasyurus viverrinus,Fox,EN,1,"Peacock D, Abbott I. 2014. When the ‘native cat’would ‘plague’: historical hyperabundance in the quoll (Marsupialia: Dasyuridae) and an assessment of the role of disease, cats and foxes in its curtailment. Australian Journal of Zoology 62:294-344.",Peacock and Abbott 2014 Australian Journal of Zoology,Very high,,Very high,-38.0627,143.752,Predation,Hunted,1,no,no,,,,,
Falsistrellus tasmaniensis,Cat,VU,1,,,,,N/A,,,,,,,,,,,,
Hipposideros inornatus,Cat,VU,0,,,,,Minor,,,,,,,,,,,,
Isoodon auratus,Cat,VU,1,"Wysong, M.L., 2016. Predator ecology in the arid rangelands of Western Australia: spatial interactions and resource competition between an apex predator, the dingo Canis dingo, and an introduced mesopredator, the feral cat Felis catus. PhD thesis, University of Western Australia, Perth.",Wysong 2016 Thesis University of Western Australia,Moderate,,Moderate,-26.1986,121.3598,Predation,Diet,1,no,no,,,,,
Isoodon auratus,Cat,VU,1,"Blythman, M., Lohr, C., Sims, C. and Morris, K., 2020. Translocation of Golden Bandicoots, Isoodon auratus barrowensis, from a fenced enclosure to unfenced managed land on Matuwa (formally Lorna Glen) September 2015: Final Report. Department of Biodiversity Conservation and Attractions, Perth Western Australia, 43.",Blythman et al 2020 Report Department of Biodiversity Conservation and Attractions,Moderate,,Moderate,-26.1986,121.3598,Predation,Hunted_reintroduced,1,no,no,,,,,
Isoodon auratus,Cat,VU,1,"Christensen, P. and Burrows, N., 1995. Project desert dreaming: experimental reintroduction of mammals to the Gibson Desert, Western Australia. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.199-207.",Christensen and Burrows 1995 Reintroduction Biology of Australian and New Zealand Fauna,Moderate,,Moderate,-20.78,121.5474,Predation,Hunted_reintroduced,0,no,no,,,,,
Isoodon auratus,Cat,VU,1,"Moseby, K.E., Peacock, D.E. and Read, J.L., 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation, 191, pp.331-340.",Moseby et al 2015 Biological Conservation,Moderate,,Moderate,-26.227,115.4,Predation,Hunted_reintroduced,0,no,no,,,,,
Isoodon auratus,Cat,VU,1,"Doherty, T.S., Dickman, C.R., Johnson, C.N., Legge, S.M., Ritchie, E.G. and Woinarski, J.C., 2017. Impacts and management of feral cats Felis catus in Australia. Mammal Review, 47(2), pp.83-97.",Doherty et al 2017 Mammal Review,Moderate,,Moderate,,,Predation,Hunted,1,no,no,,,,,
Isoodon auratus,Fox,VU,1,"Blythman, M., Lohr, C., Sims, C. and Morris, K., 2020. Translocation of Golden Bandicoots, Isoodon auratus barrowensis, from a fenced enclosure to unfenced managed land on Matuwa (formally Lorna Glen) September 2015: Final Report. Department of Biodiversity Conservation and Attractions, Perth Western Australia, 43.",Blythman et al 2020 Report Department of Biodiversity Conservation and Attractions,N/A,,N/A,-26.1986,121.3598,Predation,Hunted_reintroduced,0,no,no,,,,,
Isoodon auratus,Fox,VU,1,"Christensen, P. and Burrows, N., 1995. Project desert dreaming: experimental reintroduction of mammals to the Gibson Desert, Western Australia. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.199-207.",Christensen and Burrows 1995 Reintroduction Biology of Australian and New Zealand Fauna,N/A,,N/A,-20.78,115.4,Predation,Hunted_reintroduced,0,no,no,,,,,
Lagorchestes hirsutus,Cat,VU,1,"Paltridge, R., Gibson, D. and Edwards, G., 1997. Diet of the feral cat (Felis catus) in central Australia. Wildlife Research, 24(1), pp.67-76.",Paltridge et al 1997 Wildlife Research,Moderate,,Moderate,-24.29,131.57,Predation,Diet,1,no,no,,,,,
Lagorchestes hirsutus,Cat,VU,1,"Gibson, D.F., Lundie-Jenkins, G., Langford, D.G., Cole, J.R. and Johnson, K.A., 1994. Predation by feral cats, Felis catus, on the rufous hare-wallaby, Lagorchestes hirsutus, in the Tanami Desert. Australian Mammalogy, 17(1), pp.103-107.",Gibson et al 1994 Australian Mammalogy,Moderate,,Moderate,-20.21,131.54,Predation,Hunted_reintroduced,1,no,no,,,,,
Lagorchestes hirsutus,Cat,VU,1,"Hardman, B. and Moro, D., 2006. Optimising reintroduction success by delayed dispersal: is the release protocol important for hare-wallabies?. Biological Conservation, 128(3), pp.403-411.",Hardman and Moro 2006 Biological Conservation,Moderate,,Moderate,-25.44,113.32,Predation,Hunted_reintroduced,1,no,no,,,,,
Lagorchestes hirsutus,Cat,VU,1,"Hardman, B., Moro, D. and Calver, M., 2016. Direct evidence implicates feral cat predation as the primary cause of failure of a mammal reintroduction programme. Ecological Management & Restoration, 17(2), pp.152-158.",Hardman et al 2016 Ecological Management and Restoration,Moderate,,Moderate,-25.44,113.32,Predation,Hunted_reintroduced,1,no,no,,,,,
Lagorchestes hirsutus,Cat,VU,1,"Lundie-Jenkins, G., Corbett, L.K., Phillips, C.M. 1993. Ecology of the rufous hare-wallaby, Lagorchestes hirsutus Gould (Marsupialia : Macropodidae) in the Tanami Desert, Northern Territory. III Interactions with introduced mammal species. Wildlife Research, 20(4), pp 495-511.",Lundie-Jenkins et al 1993 Wildlife Research,Moderate,,Moderate,-20.21,131.54,Population,Spatial,0,yes,yes,no,yes,yes,2,no
