record_id,scientificName,Species_Status,Extinction.extirpation,Record_certainty,Reference,Quote,Year_last_record_min,Year_last_record_max,Place_last_record,Coordinates_used_for_centre_point,Coordinates_accuracy,Abbot_fox,buffer_distance,centroid_Longitude,centroid_Latitude,predator,max_arrival,min_arrival,attributed_to,min_years_since,max_years_since
pop_150,Onychogalea lunata,Globally extinct,State,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""Further, the species > 350 g that had no post-1860 record were all species known or suspected to be susceptible to predation by feral cats. These were Potorous platyops and Lagorchestes hirsutus in Western Australia, and Onychogalea lunata, Dasyurus geoffroii and Isoodon auratus in western New South Wales.",1860,1860,Western NSW,Wilcannia,Region,,Regional polygon,143.9606272,-32.05107664,Cats,1880,1830,Cats,-20,30
pop_151,Onychogalea lunata,Globally extinct,Region,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""The year of last known record in the Nullarbor region is shown in parentheses: Isoodon auratus (1922), Onychogalea lunata (1927-28), Antechinomys laniger (1927-28), Bettongia lesueur (1928), Dasycercus cristicauda (1928), Bettongia penicillata (1938), Perameles bougainville (1938), Macrotis lagotis (1938), Dasyurus geoffroii (1938) and Leporillus conditor (1938) (Brooker 1977; Boscacci et al. 1987).",1927,1928,Nullarbor,Nullarbor,Region,,Regional polygon,127.6237617,-30.91428508,Cats,1890,1870,Cats,37,58
pop_152,Onychogalea lunata,Globally extinct,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.","""""The apparent persistence of the Bilby in southwestern Australia for nearly 50 years after the last specimen was collected has an interesting implication for 11 other mammal species that were last collected in south-western Australia last century or early in the 1900s. These species, with their last year of collection and the collector, are: Notomys longicaudatus, N. macrotis, Pseudomys fieldi, P. nanus, Rattus tunneyi and Chaeropus ecaudatus (1840s, John Gilbert); Potorous platyops (1875, William Webb); Lagorchestes hirsutus (1896, John Tunney); Perameles bougainville and Lagostrophus fasciatus (1906, Guy Shortridge); and Onychogalea lunata (1908, John Tunney). In addition, Bettongia lesueur was last collected in south-western Australia in 1942 (by Norman Hall).""""",1908,1908,South-west Australia,Perth,Region,,Regional polygon,118.8295276,-31.83094646,Cats,1890,1830,Cats,18,78
pop_153,Perameles bougainville,Extinct from mainland,State,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",Table 1,1857,1857,"Western Division, NSW",Wilcannia,Region,,Regional polygon,143.9853199,-31.43073893,Cats,1880,1830,Cats,-23,27
pop_154,Perameles bougainville,Extinct from mainland,Region,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""The year of last known record in the Nullarbor region is shown in parentheses: Isoodon auratus (1922), Onychogalea lunata (1927-28), Antechinomys laniger (1927-28), Bettongia lesueur (1928), Dasycercus cristicauda (1928), Bettongia penicillata (1938), Perameles bougainville (1938), Macrotis lagotis (1938), Dasyurus geoffroii (1938) and Leporillus conditor (1938) (Brooker 1977; Boscacci et al. 1987).",1938,1938,Nullarbor,Nullarbor,Region,,Regional polygon,127.6237617,-30.91428508,Cats,1890,1870,Cats,48,68
pop_155,Perameles bougainville,Extinct from mainland,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.","""""The apparent persistence of the Bilby in southwestern Australia for nearly 50 years after the last specimen was collected has an interesting implication for 11 other mammal species that were last collected in south-western Australia last century or early in the 1900s. These species, with their last year of collection and the collector, are: Notomys longicaudatus, N. macrotis, Pseudomys fieldi, P. nanus, Rattus tunneyi and Chaeropus ecaudatus (1840s, John Gilbert); Potorous platyops (1875, William Webb); Lagorchestes hirsutus (1896, John Tunney); Perameles bougainville and Lagostrophus fasciatus (1906, Guy Shortridge); and Onychogalea lunata (1908, John Tunney). In addition, Bettongia lesueur was last collected in south-western Australia in 1942 (by Norman Hall).""""",1906,1906,South-west Australia,Perth,Region,,Regional polygon,118.8295276,-31.83094646,Cats,1890,1830,Cats,16,76
pop_156,Perameles bougainville,Extinct from mainland,Mainland,Confirmed,Short J. 2016. Predation by feral cats key to the failure of a long-term reintroduction of the western barred bandicoot (Perameles bougainville). Wildlife Research 43:38-50.,"""""The last specimens recorded on mainland Australia were in the late 1920s and early 1930s (Rawlinna in Western Australia in 1929 and in north-west South Australia in 1931: Copley et al. 1989; Friend 1990b).""""",1929,1929,"Rawlinna, Western Australia","Rawlinna, Western Australia",Place,,10000 m,125.3318783,-31.0090209,Cats,1890,1880,Cats,39,49
pop_157,Perameles bougainville,Extinct from mainland,Mainland,Confirmed,Short J. 2016. Predation by feral cats key to the failure of a long-term reintroduction of the western barred bandicoot (Perameles bougainville). Wildlife Research 43:38-50.,"""""The last specimens recorded on mainland Australia were in the late 1920s and early 1930s (Rawlinna in Western Australia in 1929 and in north-west South Australia in 1931: Copley et al. 1989; Friend 1990b).""""",1931,1931,North-west South Australia,Watarru,Region,,Regional polygon,130.7464398,-27.24032,Cats,1890,1870,Cats,41,61
pop_158,Perameles eremiana,Globally extinct,Global,Confirmed,IUCN 2023,"""""The Desert Bandicoot is listed as Extinct because the most recent specimen, from Well 33 on the Canning Stock Route, was collected in 1943 (Gordon 2008). Western desert Aboriginal people recalled that it disappeared between 1940 and 1960, with some people reporting that they had eaten it near Lake Mackay as recently as the late 1960s (Burbidge et al. 1988).""""",1943,1943,"Well 33, Canning Stock Route","Well 33, Canning Stock Route",Place,,10000 m,124.8164069,-22.38298822,Cats,1890,1880,Cats,53,63
pop_159,Perameles eremiana,Globally extinct,Global,Unconfirmed,IUCN 2023,"""""The Desert Bandicoot is listed as Extinct because the most recent specimen, from Well 33 on the Canning Stock Route, was collected in 1943 (Gordon 2008). Western desert Aboriginal people recalled that it disappeared between 1940 and 1960, with some people reporting that they had eaten it near Lake Mackay as recently as the late 1960s (Burbidge et al. 1988).""""",1940,1969,Lake Mackay,Lake Mackay,Place,,10000 m,129.7499865,-22.01669321,Cats,1890,1880,Cats,50,89
pop_160,Perameles gunnii,Extinct from mainland,Mainland,Confirmed,"Hill, R., Watson, M. and Winnard, A., 2010. National Recovery Plant for the Eastern Barred Bandicoot (mainland) Perameles Gunnii Unnamed Subspecies. Melbourne, Vic: Department of Sustainability and Environment.",The last remaining wild population of the mainland Eastern Barred Bandicoot occurred in and around the city of Hamilton in south-western Victoria. The last confirmed sighting was in 2002; this population is now considered extinct.,2002,2002,"Hamilton, Victoria","Hamilton, Victoria",Place,,10000 m,142.0216702,-37.74203362,Cats,1840,1830,Cats,162,172
pop_161,Phascogale calura,Extant,State,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.",Table 1,1857,1857,"Western Division, NSW",Wilcannia,Region,,Regional polygon,143.9853199,-31.43073893,Cats,1880,1830,Cats,-23,27
pop_162,Phascogale calura,Extant,State,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""Canning Stock Route, Great Sandy Desert, Western Australia 1930-31: """"Lipfert collected 14 species of native mammal (Abbott 2013): Dasyurus geoffroii (well 46), Dasycercus cristicauda/blythi (wells 26-29, 31, 33-36, 41-47, 49), Phascogalec alura( well 44), Notoryctesc aurinus (well 43), Antechinomys laniger (Sturt Creek), Sminthopsis hirtipes (well 29), S. youngsoni (wells 24, 26), Isoodon auratus (wells 31, 33, 41, 43-46), Perameles eremiana (wells 45-46), Macrotis lagotis (well 31), Lagorchestehs irsutus (wells 24, 26, 28-29, 44-45), Trichosurus vulpecula (well 43), and Notomys alexis (wells 24, 26, 43). All of these wells lie to the north of the Tropic of Capricorn, a region in which foxes had not been recorded in 1930-31.""""",1930,1931,"Well 44, Canning Stock Route WA","Well 44, Canning Stock Route WA",Place,,10000 m,126.1500837,-21.01365552,Cats,1890,1880,Cats,40,51
pop_163,Potorous platyops,Globally extinct,Global,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.","""""The apparent persistence of the Bilby in southwestern Australia for nearly 50 years after the last specimen was collected has an interesting implication for 11 other mammal species that were last collected in south-western Australia last century or early in the 1900s. These species, with their last year of collection and the collector, are: Notomys longicaudatus, N. macrotis, Pseudomys fieldi, P. nanus, Rattus tunneyi and Chaeropus ecaudatus (1840s, John Gilbert); Potorous platyops (1875, William Webb); Lagorchestes hirsutus (1896, John Tunney); Perameles bougainville and Lagostrophus fasciatus (1906, Guy Shortridge); and Onychogalea lunata (1908, John Tunney). In addition, Bettongia lesueur was last collected in south-western Australia in 1942 (by Norman Hall).""""",1875,1875,South-west Australia,Perth,Region,,Regional polygon,118.8295276,-31.83094646,Cats,1890,1830,Cats,-15,45
pop_164,Potorous platyops,Globally extinct,Global,Confirmed,"Abbott, I., Peacock, D. and Short, J., 2014. The new guard: the arrival and impacts of cats and foxes. Carnivores of Australia: past, present and future, pp.69-104.","""""Further, the species > 350 g that had no post-1860 record were all species known or suspected to be susceptible to predation by feral cats. These were Potorous platyops and Lagorchestes hirsutus in Western Australia, and Onychogalea lunata, Dasyurus geoffroii and Isoodon auratus in western New South Wales.",1860,1860,Western Australia,Western Australia,State,,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,-30,30
pop_165,Pseudomys auritus,Globally extinct,Global,Confirmed,IUCN 2023,"""""Pseudomys auritus is listed as Extinct as it is only described from specimens collected in the 1800s and it has not been seen or collected since...The Long-eared Mouse was previously distributed from Kangaroo Island and the Coorong through south-eastern South Australia to the basalt plains of south-western Victoria (Medlin 2008).""""",1800,1899,Coorong through south-eastern SA to south-western Victoria,Port Macdonnell,Region,,Regional polygon,141.0398014,-37.34340802,Cats,1860,1830,Cats,-60,69
pop_166,Pseudomys australis,Extant,State,Confirmed,"Lunney, D., 2001. Causes of the extinction of native mammals of the Western Division of New South Wales: an ecological interpretation of the nineteenth century historical record. The Rangeland Journal, 23(1), pp.44-70.","Table 1 + """"subfossil remains dated post 1860 found in Mootwingee National Park (cited in Ayers et al. 1996)""""",1840,1860,"Mootwingee National Park, NSW","Mootwingee National Park, NSW",Region,,Regional polygon,142.4892365,-30.99053051,Cats,1880,1870,Cats,-40,-10
pop_167,Pseudomys australis,Extant,State,Unconfirmed,"Seebeck, J. and Menkhorst, P., 2000. Status and conservation of the rodents of Victoria. Wildlife Research, 27(4), pp.357-369.","""""The post-European occurrence of Pseudomys australis in Victoria is equivocal (Williams and Menkhorst 1995b), as, indeed, is its taxonomic identity (Watts and Aslin 1981; Lee 1995). Present in Pleistocene and Holocene fossil deposits in western Victoria, no specimens from the modern era have been collected (Wakefield 1964, 1974). However, anecdotal records have been interpreted to refer to this species’ presence in the 1840s (Seebeck 1984b).""""",1840,1849,Victoria,Victoria,State,,Regional polygon,144.2788819,-36.85414477,Cats,1860,1830,Cats,-20,19
pop_168,Pseudomys australis,Extant,Region,Confirmed,"Vernes, K., Elliott, T.F. and Jackson, S.M., 2021. 150 years of mammal extinction and invasion at Koonchera Dune in the Lake Eyre Basin of South Australia. Biological Invasions, 23(2), pp.593-610.","""""In 1931 mammalogist Hedley Herbert Finlayson rediscovered the desert rat-kangaroo or ngudlukanta (Caloprymnus campestris) here, and also captured lesser bilby or yallara (Macrotis leucura), bilby (Macrotis lagotis), and plains mouse (Pseudomys australis). This was the last time any of these mammals were recorded at Koonchera""""",1931,1931,"Koonchera Dune, South Australia","Koonchera Dune, South Australia",Place,,10000 m,139.5400119,-26.77003491,Cats,1880,1870,Cats,51,61
