Study_ID,Reference,Prey_Species,Predator_Species,Correlation,Site,Lat,Long,n,r,yi,vi
ES_33,"Hollings, T., Jones, M., Mooney, N. and Mccallum, H., 2014. Trophic cascades following the disease‐induced decline of an apex predator, the Tasmanian devil. Conservation Biology, 28(1), pp.63-75.",Dasyurus viverrinus,Cat,Temporal,Early TFTD site,-41.4391,147.1358,24,-0.397581057,-0.420772541,0.047619048
ES_34,"Hollings, T., Jones, M., Mooney, N. and Mccallum, H., 2014. Trophic cascades following the disease‐induced decline of an apex predator, the Tasmanian devil. Conservation Biology, 28(1), pp.63-75.",Dasyurus viverrinus,Cat,Temporal,Mid TFTD site,-42.2117,146.8548,24,-0.278355952,-0.285899055,0.047619048
ES_35,"Hollings, T., Jones, M., Mooney, N. and Mccallum, H., 2014. Trophic cascades following the disease‐induced decline of an apex predator, the Tasmanian devil. Conservation Biology, 28(1), pp.63-75.",Dasyurus viverrinus,Cat,Temporal,Late TFTD site,-41.4445,145.5333,24,0.358525092,0.375192415,0.047619048
ES_36,"Geyle, H.M., Schlesinger, C., Banks, S., Dixon, K., Murphy, B.P., Paltridge, R., Doolan, L., Herbert, M. and Dickman, C.R., 2024. Corrigendum to: Unravelling predator–prey interactions in response to planned fire: a case study from the Tanami Desert. Wildlife Research, 51(9), pp.NULL-NULL.",Macrotis lagotis,Cat,Temporal,,-19.812,130.2837,6,0.67074966,0.812104666,0.333333333
ES_38,"Geyle, H.M., Schlesinger, C., Banks, S., Dixon, K., Murphy, B.P., Paltridge, R., Doolan, L., Herbert, M. and Dickman, C.R., 2024. Corrigendum to: Unravelling predator–prey interactions in response to planned fire: a case study from the Tanami Desert. Wildlife Research, 51(9), pp.NULL-NULL.",Macrotis lagotis,Fox,Temporal,,-19.812,130.2837,6,-0.477391762,-0.519600687,0.333333333
ES_46,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Macrotis lagotis,Fox,Temporal,,-19.2,132.6666667,6,-0.117060509,-0.117599649,0.333333333
ES_47,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Macrotis lagotis,Cat,Temporal,,-19.2,132.6666667,6,0.71506013,0.897462623,0.333333333
ES_1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,Cat,Spatial,,-27.7,140.41,7,-0.537543179,-0.600693945,0.25
ES_2,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Notomys fuscus,Fox,Spatial,,-27.7,140.41,7,-0.443348414,-0.476390727,0.25
ES_12,"Letnic, Mike, and Freya Koch. Are dingoes a trophic regulator in arid Australia? A comparison of mammal communities on either side of the dingo fence. Austral Ecology 35.2 (2010): 167-175.",Notomys fuscus,Fox,Spatial,,-27.69,140.4098,6,-0.514726656,-0.569138975,0.333333333
ES_13,"Letnic, Mike, and Freya Koch. Are dingoes a trophic regulator in arid Australia? A comparison of mammal communities on either side of the dingo fence. Austral Ecology 35.2 (2010): 167-175.",Notomys fuscus,Cat,Spatial,,-27.69,140.4098,6,0.186286301,0.188487184,0.333333333
ES_19,"Stobo-Wilson, A.M., Brandle, R., Johnson, C.N. and Jones, M.E., 2020. Management of invasive mesopredators in the Flinders Ranges, South Australia: effectiveness and implications. Wildlife Research, 47(8), pp.720-730.",Petrogale xanthopus,Fox,Spatial,,-31.547,138.3928,4,-0.992667488,-2.802455672,1
ES_20,"Stobo-Wilson, A.M., Brandle, R., Johnson, C.N. and Jones, M.E., 2020. Management of invasive mesopredators in the Flinders Ranges, South Australia: effectiveness and implications. Wildlife Research, 47(8), pp.720-730.\",Petrogale xanthopus,Cat,Spatial,,-31.547,138.3928,4,0.512935653,0.56670547,1
